Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Face-recognition-voting,Spl_project,AdminPanel,actionPerformed,Magic Number,The method contains a magic number: 500,458
Face-recognition-voting,Spl_project,EndingPageOfVoter,components,Magic Number,The method contains a magic number: 150,39
Face-recognition-voting,Spl_project,EndingPageOfVoter,components,Magic Number,The method contains a magic number: 100,39
Face-recognition-voting,Spl_project,EndingPageOfVoter,components,Magic Number,The method contains a magic number: 5,39
Face-recognition-voting,Spl_project,EndingPageOfVoter,components,Magic Number,The method contains a magic number: 18,39
Face-recognition-voting,Spl_project,EndingPageOfVoter,components,Magic Number,The method contains a magic number: 3,39
Face-recognition-voting,Spl_project,EndingPageOfVoter,components,Magic Number,The method contains a magic number: 15,39
Face-recognition-voting,Spl_project,EndingPageOfVoter,components,Magic Number,The method contains a magic number: 280,39
Face-recognition-voting,Spl_project,EndingPageOfVoter,components,Magic Number,The method contains a magic number: 150,39
Face-recognition-voting,Spl_project,EndingPageOfVoter,actionPerformed,Magic Number,The method contains a magic number: 280,139
Face-recognition-voting,Spl_project,EndingPageOfVoter,actionPerformed,Magic Number,The method contains a magic number: 150,139
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 15,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 20,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 90,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 30,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 15,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 110,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 20,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 150,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 30,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 15,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 40,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 60,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 85,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 30,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 15,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 148,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 60,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 85,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 30,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 700,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 500,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 700,48
Face-recognition-voting,Spl_project,PasswordCheck,components,Magic Number,The method contains a magic number: 500,48
Face-recognition-voting,Spl_project,PasswordCheck,actionPerformed,Magic Number,The method contains a magic number: 700,113
